image,prompt
0124.jpg,"person made of tree, bark for skin, leaf hair, covered in flowers, martial arts pose fantasy character portrait, full body, greg rutkowski, gaston bussiere, 8k, VFX, octane render, unreal engine 5, Diffraction Grading, Ray Tracing Reflections, high contrast, Rembrandt Lighting, ultra detailed"
0125.jpg,"Girl cyber-angel. Beautiful face. Slender body. Realistic face. Beautiful eyes. Detailed face. Detailed eyes. Futuristic cyber suit. Symmetrical eyes. Beautiful hair. Detailed hair. High detail. Lots of details. Against the backdrop of the city of the future. Detailed suit. High quality picture. Detailed picture. Masterpiece. ArtStation. A high resolution, RAW candid cinema, woman, studio, 16mm, color graded portra 400 film remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera"
0126.jpg,"200 mm macro lens photo of sea bed, sand and pebbles under most beautiful stormy waves, sea shells and sea weed, glibatree style, After Effects HeliumX Lite render, photorealism, High detail RAW color art, uhd 8k, hdr+, 4k, 8k, highly realistic detailed photo 64k uhd"
0127.jpg,"girl with balloon, highly detailed mattepainting in a microscopic surface, style of grid electron microscope, neuronal, white and gold"
0128.jpg,"an Ai artwork that imagines Osmosis Jones exploring the inner workings of the human body, with colorful and surreal anatomical landscapes"
0129.jpg,"masterpiece, concept art, close shot, highly detailed, centered, 1girl in a shiny color dress standing in the rain, dreamy cyberpunk girl, cyberpunk art style, cyberpunk beautiful girl, cyberpunk girl, model girl, cyberpunk vibe, beautiful digital artwork, bright cyberpunk glow, cyberpunk vibrant colors, neon rainy cyberpunk setting, cyberpunk vibes, mneon rain, cyberpunk art ultrarealistic 8k, has cyberpunk style, perfect composition, beautiful detailed intricate insanely detailed octane render trending on artstation, 8k artistic photography, photorealistic concept art, soft natural volumetric cinematic perfect light, chiaroscuro, award-winning photograph"
0130.jpg,"mj, Van Gogh style, a sea and sunset, painted with bold and expressive brushstrokes reminiscent of Van Gogh's iconic style, mountains are depicted with vibrant colors and swirling textures, unique interpretation of the natural world, a sense of movement and energy, The Starry Night style, seamless background, Van Gogh Art symmetrical balance, unforgettable, masterpiece"
0131.jpg,"Diamond-Gold Shoe, detailed stunning environment, cinematic, cover art, low front angle, full view of Diamond Gold Shoe, highly detailed, smooth, sharp focus, cinematic lighting, atmospheric, photoreal, 8k, Canon EF 200-400mm f/4L IS USM Extender 1.4x Lens, stan Winston studio"
0132.jpg,"Portrait of Gecko from GEICO in 3d render, detailed, intricate, full of colour, cinematic lighting, trending on artstation, 8k, hyperrealistic, focused, extreme details, unreal engine 5, cinematic, masterpiece"
0133.jpg,"Photo of a ultra realistic sailing ship, dramatic light, pale sunrise, cinematic lighting, battered, low angle, trending on artstation, 4k, hyper realistic, focused, extreme details, unreal engine 5, cinematic, masterpiece, art by studio ghibli, intricate artwork by john william turner"
0134.jpg,"complex 3d render ultra detailed of a beautiful porcelain profile woman andriod face, cyborg, robotic parts, 150 mm, beautiful studio soft light, rim light, vibrant details, luxurious cyberpunk, lace, hyperrealistic, anatomical, facial muscles, cable electric wires, microchip, elegant, beautiful background, octane render, H. R. Giger style, 8k, best quality, masterpiece, illustration, an extremely delicate and beautiful, extremely detailed, CG, unity, wallpaper, realistic, photo-realistic, Amazing, finely detail, masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, absurdres, incredibly absurdres, full body, sitting, small body, thin leg, narrow waist, small body"

